family	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Burkholderiales Unclassified	43.5993377483444	2.7931202024913074e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.013794371896266323	4.3877623303285605e-7
Deltaproteobacteria Unclassified	43.6065573770492	2.7837160883836123e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001103549751701306	4.3877623303285605e-7
Sutterellaceae	43.500440442399935	2.925174886885707e-8	5	Kruskal-Wallis rank sum test	0	0	0.015541659003126724	0.0037704616516461287	0	0	4.3877623303285605e-7
Betaproteobacteria Unclassified	39.25046609182013	2.1145045460380602e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0031267242964870333	2.3788176142928177e-6
Bifidobacteriaceae	34.45247607157719	1.934777335761131e-6	5	Kruskal-Wallis rank sum test	0.002391024462019496	5.51774875850653e-4	0	0	0	0	1.7412996021850177e-5
Deferribacteraceae	33.57039810917628	2.8989338444079703e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.019404083134081294	0.007173073386058488	0.0060695236343571825	2.1742003833059778e-5
Rikenellaceae	31.376663385715418	7.892254005959522e-6	5	Kruskal-Wallis rank sum test	0	0.0866286555085525	0	0.024553981975354057	0	0.03770461651646129	5.073591860973978e-5
Desulfovibrionaceae	27.936274485796233	3.7457796597217095e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.0010115872723928637	0	0.002942799337870149	2.1070010585934616e-4
Verrucomicrobiaceae	27.031458477110647	5.624342503121345e-5	5	Kruskal-Wallis rank sum test	0.015081846606584515	0.1956961559683649	0.22742321132977744	0.0111274599963215	0.07320213352951996	0.19514438109251425	2.8121712515606726e-4
Bacteroidaceae	25.545909859822974	1.0927473953426899e-4	5	Kruskal-Wallis rank sum test	0.200294279933787	0.17270553614125436	0.309269817914291	0.278094537428729	1.839249586168843e-4	1.839249586168843e-4	4.917363279042104e-4
Porphyromonadaceae	24.003063727413007	2.1681881910024515e-4	5	Kruskal-Wallis rank sum test	0.263104653301453	0.1852124333272025	9.196247930844215e-5	0.1703145116792349	0.35331984550303475	0.37079271657163876	8.869860781373665e-4
Enterococcaceae	23.244737455747984	3.030690587268329e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0	3.678499172337686e-4	0.0011116235556727764
Erysipelotrichaceae	23.113321072623787	3.2113569386102425e-4	5	Kruskal-Wallis rank sum test	0.024645944454662498	0.03439396726135737	0.04736067684384771	0.004046349089571455	0.0027588743792532648	0.0012874747103181902	0.0011116235556727764
Unclassified	21.999097397211283	5.238052181789919e-4	5	Kruskal-Wallis rank sum test	0.00855251057568512	0.0018392495861688431	2.758874379253265e-4	0.005149898841272761	0.0031267242964870333	5.51774875850653e-4	0.0016836596298610456
Clostridiaceae 1	17.55533743298644	0.0035585586930421795	5	Kruskal-Wallis rank sum test	0	0	0.0010115872723928637	0	0	0	0.010675676079126539
Peptostreptococcaceae	16.291403286978564	0.006059525315173598	5	Kruskal-Wallis rank sum test	0	0	0	3.678499172337686e-4	0	0	0.017042414948925742
Lachnospiraceae	14.965487248987479	0.010510827938750893	5	Kruskal-Wallis rank sum test	0.322788302372632	0.23983814603641715	0.29225675924222916	0.2697259518116608	0.40150818466065846	0.11789589847342284	0.027822779837870012
Clostridia Unclassified	14.626071573254205	0.012085469473992133	5	Kruskal-Wallis rank sum test	0.0018392495861688431	9.196247930844216e-4	0.002207099503402612	0.0018392495861688431	7.356998344675372e-4	1.839249586168843e-4	0.029954574312489685
Rhodospirillaceae	14.515234237407496	0.01264748693194009	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.029954574312489685
Anaeroplasmataceae	12.666703681083776	0.026710570387986576	5	Kruskal-Wallis rank sum test	0.001103549751701306	9.196247930844216e-4	0	0	0	0	0.0600987833729698
Bacteroidetes Unclassified	12.518059299191352	0.028338937939119645	5	Kruskal-Wallis rank sum test	0	0	0	0.0031267242964870333	0	0	0.060726295583827805
Clostridiales Unclassified	9.916709305123929	0.0776299447816401	5	Kruskal-Wallis rank sum test	0.014989884127276072	0.0064373735515909514	0.009931947765311753	0.02611734412359757	0.0018392495861688431	0.0027588743792532648	0.15878852341699112
Clostridiales Incertae Sedis XIII	9.465116279069784	0.09188959115697959	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.15932839656904302
Lactobacillaceae	9.644443659946118	0.08595991131897907	5	Kruskal-Wallis rank sum test	0.04460180246459444	0.04046349089571455	0.01563362148243517	0.04736067684384771	0.02078352032370793	0.04027956593709767	0.15932839656904302
Oxalobacteraceae	9.460227272727295	0.09205640690655818	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.15932839656904302
